date,%-close,value,Target
2019-06,XOM-close,59.5505,0.0
2019-07,XOM-close,64.4815,1.0
2019-08,XOM-close,62.5714,0.0
2019-09,XOM-close,58.3435,0.0
2019-10,XOM-close,60.1582,1.0
2019-11,XOM-close,57.5682,0.0
2019-12,XOM-close,58.7589,1.0
2020-01,XOM-close,60.1819,1.0
2020-02,XOM-close,53.5756,0.0
2020-03,XOM-close,45.0083,0.0
2020-04,XOM-close,33.2225,0.0
2020-05,XOM-close,40.6597,1.0
2020-06,XOM-close,40.5692,0.0
2020-07,XOM-close,39.9001,0.0
2020-08,XOM-close,37.5446,0.0
2020-09,XOM-close,36.3384,0.0
2020-10,XOM-close,31.2343,0.0
2020-11,XOM-close,29.6785,0.0
2020-12,XOM-close,35.5105,1.0
2021-01,XOM-close,38.3882,1.0
2021-02,XOM-close,41.7595,1.0
2021-03,XOM-close,51.5049,1.0
2021-04,XOM-close,52.8879,1.0
2021-05,XOM-close,54.2236,1.0
2021-06,XOM-close,56.0953,1.0
2021-07,XOM-close,60.6218,1.0
2021-08,XOM-close,55.3265,0.0
2021-09,XOM-close,53.1902,0.0
2021-10,XOM-close,57.3853,1.0
2021-11,XOM-close,62.8975,1.0
2021-12,XOM-close,59.1808,0.0
2022-01,XOM-close,60.5159,1.0
2022-02,XOM-close,75.1232,1.0
2022-03,XOM-close,78.42,1.0
2022-04,XOM-close,82.59,1.0
2015-04,XOM-close,88.55,1.0
2015-05,BAC-close,13.9755,0.0
2015-06,BAC-close,14.4756,1.0
2015-07,BAC-close,14.9759,1.0
2015-08,BAC-close,15.7326,1.0
2015-09,BAC-close,14.3776,0.0
2015-10,BAC-close,13.7521,0.0
2015-11,BAC-close,14.8113,1.0
2015-12,BAC-close,15.385,1.0
2016-01,BAC-close,14.8976,0.0
2016-02,BAC-close,12.5165,0.0
2016-03,BAC-close,11.0825,0.0
2016-04,BAC-close,12.0123,1.0
2016-05,BAC-close,12.9363,1.0
2016-06,BAC-close,13.1406,1.0
2016-07,BAC-close,11.8298,0.0
2016-08,BAC-close,12.9174,1.0
2016-09,BAC-close,14.4552,1.0
2016-10,BAC-close,14.0163,0.0
2016-11,BAC-close,14.7776,1.0
2016-12,BAC-close,18.9825,1.0
2017-01,BAC-close,19.8633,1.0
2017-02,BAC-close,20.3487,1.0
2017-03,BAC-close,22.1822,1.0
2017-04,BAC-close,21.2649,0.0
2017-05,BAC-close,21.0395,0.0
2017-06,BAC-close,20.2688,0.0
2017-07,BAC-close,21.9421,1.0
2017-08,BAC-close,21.8154,0.0
2017-09,BAC-close,21.716,0.0
2017-10,BAC-close,23.0341,1.0
2017-11,BAC-close,24.8975,1.0
2017-12,BAC-close,25.7156,1.0
2018-01,BAC-close,26.948,1.0
2018-02,BAC-close,29.2119,1.0
2018-03,BAC-close,29.3032,1.0
