,date,%-close_x,value,string-date_x,combined,Date,%-close_y,EPS,string-date_y
3485,2015-04-30,MO-close,33.6003,2015-04-30,2015-04-30_MO-close,2015-04-30,MO-close,2.91,2015-04-30
3486,2015-05-29,MO-close,34.3723,2015-05-29,2015-05-29_MO-close,2015-05-29,MO-close,2.91,2015-05-29
3487,2015-06-30,MO-close,33.1883,2015-06-30,2015-06-30_MO-close,2015-06-30,MO-close,3.84,2015-06-30
3488,2015-07-31,MO-close,36.9,2015-07-31,2015-07-31_MO-close,2015-07-31,MO-close,3.84,2015-07-31
3489,2015-08-31,MO-close,36.3571,2015-08-31,2015-08-31_MO-close,2015-08-31,MO-close,3.84,2015-08-31
3490,2015-09-30,MO-close,37.3101,2015-09-30,2015-09-30_MO-close,2015-09-30,MO-close,3.34,2015-09-30
3491,2015-10-30,MO-close,41.4732,2015-10-30,2015-10-30_MO-close,2015-10-30,MO-close,3.34,2015-10-30
3492,2015-11-30,MO-close,39.5049,2015-11-30,2015-11-30_MO-close,2015-11-30,MO-close,3.34,2015-11-30
3493,2015-12-31,MO-close,40.3137,2015-12-31,2015-12-31_MO-close,2015-12-31,MO-close,4.84,2015-12-31
3494,2016-01-29,MO-close,42.3221,2016-01-29,2016-01-29_MO-close,2016-01-29,MO-close,4.84,2016-01-29
3495,2016-02-29,MO-close,42.6407,2016-02-29,2016-02-29_MO-close,2016-02-29,MO-close,4.84,2016-02-29
3496,2016-03-31,MO-close,43.7909,2016-03-31,2016-03-31_MO-close,2016-03-31,MO-close,2.35,2016-03-31
3497,2016-04-29,MO-close,43.8259,2016-04-29,2016-04-29_MO-close,2016-04-29,MO-close,2.35,2016-04-29
3498,2016-05-31,MO-close,44.4758,2016-05-31,2016-05-31_MO-close,2016-05-31,MO-close,2.35,2016-05-31
3499,2016-06-30,MO-close,48.6137,2016-06-30,2016-06-30_MO-close,2016-06-30,MO-close,2.95,2016-06-30
