,date,%-close,value
4040,2000-05-31,HD-close,31.4756
4041,2000-06-30,HD-close,32.1054
4042,2000-07-31,HD-close,33.2691
4043,2000-08-31,HD-close,30.9217
4044,2000-09-29,HD-close,34.0615
4045,2000-10-31,HD-close,27.6661
4046,2000-11-30,HD-close,25.2403
4047,2000-12-29,HD-close,29.4266
4048,2001-01-31,HD-close,31.0431
4049,2001-02-28,HD-close,27.3721
4050,2001-03-30,HD-close,27.7853
4051,2001-04-30,HD-close,30.364
4052,2001-05-31,HD-close,31.7759
4053,2001-06-29,HD-close,30.4781
4054,2001-07-31,HD-close,32.4975
4055,2001-08-31,HD-close,29.6706
4056,2001-09-28,HD-close,24.7761
4057,2001-10-31,HD-close,24.6857
4058,2001-11-30,HD-close,30.157
4059,2001-12-31,HD-close,32.9755
4060,2002-01-31,HD-close,32.3808
4061,2002-02-28,HD-close,32.3226
4062,2002-03-28,HD-close,31.4565
4063,2002-04-30,HD-close,30.007
4064,2002-05-31,HD-close,26.9784
4065,2002-06-28,HD-close,23.7991
4066,2002-07-31,HD-close,20.0086
4067,2002-08-30,HD-close,21.3369
4068,2002-09-30,HD-close,16.9379
4069,2002-10-31,HD-close,18.7421
4070,2002-11-29,HD-close,17.1326
4071,2002-12-31,HD-close,15.6241
4072,2003-01-31,HD-close,13.5946
4073,2003-02-28,HD-close,15.2533
4074,2003-03-31,HD-close,15.8889
4075,2003-04-30,HD-close,18.3479
4076,2003-05-30,HD-close,21.1918
4077,2003-06-30,HD-close,21.6425
4078,2003-07-31,HD-close,20.3879
4079,2003-08-29,HD-close,21.0152
4080,2003-09-30,HD-close,20.8578
4081,2003-10-31,HD-close,24.2762
4082,2003-11-28,HD-close,24.0732
4083,2003-12-31,HD-close,23.2869
4084,2004-01-30,HD-close,23.2738
4085,2004-02-27,HD-close,23.8249
4086,2004-03-31,HD-close,24.5603
4087,2004-04-30,HD-close,23.1338
4088,2004-05-28,HD-close,23.6137
4089,2004-06-30,HD-close,23.1951
4090,2004-07-30,HD-close,22.2198
4091,2004-08-31,HD-close,24.1473
4092,2004-09-30,HD-close,25.8909
4093,2004-10-29,HD-close,27.1326
4094,2004-11-30,HD-close,27.6313
4095,2004-12-31,HD-close,28.2865
4096,2005-01-31,HD-close,27.307
4097,2005-02-28,HD-close,26.4863
4098,2005-03-31,HD-close,25.3716
4099,2005-04-29,HD-close,23.4674
4100,2005-05-31,HD-close,26.1081
4101,2005-06-30,HD-close,25.874
4102,2005-07-29,HD-close,28.9403
4103,2005-08-31,HD-close,26.886
